106	134	184
110	138	185
114	138	185
114	141	184
118	142	184
119	143	184
120	144	181
121	144	185
124	145	183
126	148	182
132	148	181
144	155	182
149	155	181
146	154	179
135	147	175
130	144	177
128	143	174
126	141	174
124	139	172
123	141	171
123	139	169
117	133	164
63	76	111
69	81	114
54	66	104
54	80	121
52	73	119
47	69	112
45	67	108
44	67	106
45	66	107
44	64	105
44	65	104
44	64	102
37	62	100
42	63	101
40	61	100
38	59	96
40	61	97
39	59	98
43	62	97
41	60	97
40	60	94
41	62	97
42	60	96
41	61	94
43	59	98
44	62	96
38	57	89
37	55	87
39	55	87
36	57	88
34	54	85
36	52	84
36	52	83
36	51	82
34	51	80
34	48	78
33	47	80
33	48	77
32	46	76
31	47	74
29	45	72
28	44	69
36	48	73
63	70	89
36	47	69
76	82	98
159	155	154
168	160	159
168	161	157
212	195	172
222	202	176
212	195	171
38	56	90
37	55	88
115	143	183
41	60	96
43	62	95
213	194	172
113	140	185
122	145	184
56	70	104
44	66	107
43	63	101
34	49	78
112	141	184
159	162	184
48	70	112
45	68	108
39	53	90
34	53	84
166	159	157
111	137	186
120	143	184
42	61	97
40	59	93
33	48	79
116	142	185
115	141	186
128	147	182
135	150	184
128	143	174
125	141	174
122	138	169
54	77	121
39	60	97
42	60	94
38	56	91
37	55	88
33	49	80
224	204	180
163	167	190
126	142	175
71	80	115
46	67	105
42	64	103
42	62	103
45	64	103
42	62	99
43	60	98
40	60	95
44	63	96
37	53	86
33	50	81
36	52	84
32	47	76
32	48	76
169	160	155
121	144	185
64	79	113
56	81	123
41	60	97
36	55	88
29	45	73
28	43	69
215	200	179
170	171	189
140	149	179
128	143	176
124	139	172
43	66	108
113	140	186
167	160	156
61	72	107
48	69	114
44	65	108
216	195	173
55	67	104
44	65	107
45	65	100
184	173	166
29	44	73
218	198	175
113	139	187
119	141	188
124	145	186
44	63	98
39	59	92
43	62	95
34	52	82
109	136	187
148	155	182
130	144	177
44	67	105
44	65	104
42	60	100
43	61	99
38	58	90
41	58	92
34	52	83
31	48	77
119	142	186
128	147	183
66	79	115
43	66	107
45	67	107
36	52	85
34	51	84
121	144	186
124	144	186
167	166	186
132	146	176
54	76	119
44	64	101
39	59	96
38	57	89
35	54	87
33	48	77
174	162	155
224	202	178
177	177	196
160	162	185
127	142	176
125	141	174
42	61	99
36	55	88
29	45	76
208	191	172
115	141	185
128	147	184
125	140	172
117	133	167
59	72	109
47	68	111
31	47	79
66	72	92
132	146	178
57	80	124
49	71	113
43	64	103
44	62	99
44	60	98
28	44	72
191	181	171
137	150	179
126	141	176
40	57	95
41	58	93
31	47	79
172	159	149
130	145	178
45	67	110
42	62	99
33	50	80
129	148	184
43	66	107
44	65	105
29	45	75
118	140	187
43	61	95
111	138	187
122	143	187
126	145	185
123	138	171
54	67	105
44	67	109
40	58	95
38	55	88
35	50	84
220	199	178
110	138	188
117	141	187
135	152	182
127	142	175
53	76	120
46	66	109
46	65	107
42	58	97
35	53	85
31	47	76
192	179	167
118	143	186
165	168	192
155	159	185
129	143	177
44	64	101
46	62	99
41	56	92
33	50	82
30	46	76
57	81	125
49	72	113
47	67	106
33	50	80
31	47	77
102	100	114
204	189	180
113	140	187
133	146	178
126	142	174
71	83	118
43	65	104
44	64	102
41	62	97
39	58	93
40	56	90
38	56	89
35	52	84
33	44	72
38	60	98
180	166	156
216	198	179
215	194	170
141	151	181
124	140	172
42	61	99
28	43	72
212	193	170
122	145	186
44	62	98
170	157	149
118	143	186
135	149	183
40	55	89
225	203	180
45	67	109
44	67	109
194	178	164
130	148	185
133	148	178
57	71	109
44	63	103
39	57	95
37	53	88
34	53	86
31	49	79
32	46	73
119	142	187
123	144	186
127	146	186
145	155	184
131	147	178
57	80	125
40	57	93
109	136	188
112	138	187
128	144	175
123	139	171
45	65	108
44	67	108
46	64	107
40	60	97
41	59	94
35	51	84
29	46	75
170	155	147
216	197	176
150	155	184
129	143	177
45	65	104
44	65	102
42	60	97
45	63	98
35	53	85
75	80	99
207	192	179
215	195	177
220	200	177
125	146	185
55	70	107
59	81	125
46	65	107
39	57	90
40	57	91
35	50	83
32	50	82
208	198	194
42	64	99
42	63	99
39	57	91
32	51	81
224	204	181
115	141	187
153	159	185
47	70	114
46	67	108
30	46	77
30	46	76
126	141	175
52	75	119
32	49	77
115	138	188
133	147	179
125	141	174
128	147	185
124	139	171
211	199	184
176	160	150
120	143	186
131	147	184
129	144	177
43	66	106
43	63	98
38	55	89
42	59	98
39	59	93
36	55	90
201	184	167
182	167	154
181	167	157
214	195	171
216	194	170
130	145	178
55	77	124
43	66	109
44	63	103
37	55	90
33	50	83
206	195	182
112	137	187
115	138	188
127	145	185
45	67	108
46	66	108
40	59	96
39	58	91
36	52	86
32	51	82
33	49	80
123	144	187
142	152	185
60	73	110
45	67	111
45	64	102
39	59	96
42	62	97
38	56	92
39	58	91
36	52	84
187	173	157
212	195	177
219	198	176
71	84	118
44	66	104
39	58	97
30	47	77
55	65	89
120	142	186
122	143	186
142	151	182
127	143	176
45	67	107
34	50	82
31	46	78
30	45	76
115	141	187
124	146	187
128	143	176
57	82	126
41	61	96
111	136	187
114	139	187
119	140	187
126	142	174
58	83	124
45	68	106
